
 num     #instances         #bytes  class name
 208:           292          16352  com.intellij.openapi.vfs.impl.VirtualFilePointerContainerImpl
 209:           255          16320  java.nio.DirectByteBuffer
 210:           510          16320  java.lang.ref.ReferenceQueue
 211:           502          16064  sun.font.FontConfigManager$FontConfigFont
 212:           401          16040  com.intellij.psi.impl.java.stubs.impl.PsiTypeParameterListStubImpl
 213:           333          15984  java.awt.image.SinglePixelPackedSampleModel
 214:           499          15968  sun.java2d.DefaultDisposerRecord
 215:           332          15936  java.awt.image.DataBufferInt
 216:           391          15640  com.intellij.psi.impl.java.stubs.impl.PsiParameterListStubImpl
 217:           970          15520  com.intellij.idea.IdeaLogger
 218:           644          15456  com.intellij.patterns.ElementPatternCondition
 219:           316          15168  java.util.concurrent.ConcurrentHashMap
 220:           624          14976  gnu.trove.THashMap$KeyView
 221:            38          14592  com.intellij.openapi.wm.impl.ToolWindowHeader$ActionButton$1
 222:           304          14592  com.intellij.util.containers.ConcurrentSoftValueHashMap$MySoftReference
 223:             6          14528  [[C
 224:           356          14240  com.intellij.util.containers.ConcurrentWeakValueIntObjectHashMap$MyRef
 225:            18          13920  [[J
 226:           248          13888  sun.java2d.loops.FontInfo
 227:           431          13792  com.intellij.util.indexing.ChangeTrackingValueContainer
 228:           431          13792  com.intellij.util.containers._CHMSegment$HashEntry
 229:           430          13760  com.intellij.psi.impl.compiled.ClsTypeElementImpl$1
 230:           850          13600  java.util.HashSet
 231:           565          13560  com.intellij.openapi.editor.colors.TextAttributesKey
 232:           421          13472  sun.awt.X11.XPropertyEvent
 233:           280          13440  com.intellij.openapi.actionSystem.DefaultActionGroup
 234:           150          13376  [Lsun.font.TrueTypeFont$DirectoryEntry;
 235:           417          13344  java.util.Vector$Itr
 236:           238          13328  com.intellij.util.containers.SLRUMap$1
 237:           238          13328  com.intellij.util.containers.SLRUMap$2
 238:           555          13320  javax.swing.KeyStroke
 239:            35          13160  com.intellij.ui.components.JBScrollPane$MyScrollBar
 240:           329          13160  sun.font.FontStrikeDesc
 241:           148          13024  com.intellij.ide.projectView.impl.nodes.NamedLibraryElementNode
 242:           108          12960  com.intellij.util.io.PersistentBTreeEnumerator
 243:           531          12744  com.intellij.openapi.components.ServiceDescriptor
 244:           530          12720  com.siyeh.ig.portability.mediatype.ApplicationMediaType
 245:            33          12672  com.intellij.ui.components.JBViewport
 246:           386          12352  com.intellij.util.ui.CenteredIcon
 247:           379          12128  com.intellij.psi.impl.source.PsiModifierListImpl
 248:           490          11824  [Lcom.intellij.util.containers.ConcurrentHashMap$Segment;
 249:           113          11752  java.io.ObjectStreamClass
 250:           488          11712  java.awt.Point
 251:           242          11616  java.util.zip.ZipFile
 252:           721          11536  java.util.HashMap$EntrySet
 253:           142          11360  com.intellij.psi.impl.source.tree.java.PsiCodeBlockImpl
 254:           109          11336  com.intellij.util.io.IntToIntBtree
 255:           277          11080  com.intellij.util.Alarm$Request
 256:           153          11016  java.util.regex.Pattern
 257:           269          10760  com.intellij.openapi.components.impl.ComponentManagerImpl$ComponentConfigComponentAdapter$1
 258:           217          10416  java.util.logging.LogManager$LoggerWeakRef
 259:           431          10344  com.intellij.util.indexing.ValueContainerImpl
 260:           431          10344  com.intellij.util.indexing.MapIndexStorage$2$1
 261:           430          10320  com.intellij.psi.impl.compiled.ClsTypeElementImpl$2
 262:           424          10176  com.intellij.openapi.util.ExecutionCallback
 263:           251          10040  com.intellij.openapi.components.OldComponentConfig
 264:           416           9984  [Lcom.intellij.psi.search.scope.packageSet.NamedScopesHolder;
 265:           310           9920  gnu.trove.TObjectHashIterator
 266:           103           9856  [Lcom.intellij.openapi.wm.impl.WindowInfoImpl;
 267:           246           9840  java.util.HashMap$EntryIterator
 268:           408           9792  java.awt.geom.Point2D$Float
 269:           244           9760  java.util.HashMap$KeyIterator
 270:           152           9728  com.intellij.psi.impl.source.tree.java.TypeParameterListElement
 271:           202           9696  sun.awt.image.ToolkitImage
 272:           240           9600  sun.misc.Cleaner
 273:           199           9552  sun.java2d.loops.Blit
 274:           237           9480  com.intellij.util.io.ReadWriteDirectBufferWrapper
 275:           148           9472  com.intellij.psi.impl.source.tree.java.MethodElement
 276:           148           9472  com.intellij.psi.impl.source.tree.java.ParameterListElement
 277:           148           9472  com.intellij.psi.impl.source.tree.java.PsiThrowsListImpl
 278:           235           9400  com.intellij.psi.impl.compiled.ClsParameterImpl
 279:           286           9152  com.intellij.util.containers.FList
 280:           571           9136  java.util.concurrent.locks.ReentrantLock
 281:           190           9120  com.intellij.util.indexing.ValueContainerImpl$IdSet
 282:           228           9120  sun.nio.cs.UTF_8$Decoder
 283:           162           9072  java.util.ResourceBundle$CacheKey
 284:           563           9008  javax.swing.ArrayTable
 285:           335           8912  [[I
 286:           184           8832  com.intellij.openapi.util.IconLoader$MyImageIcon
 287:            17           8704  com.intellij.openapi.wm.impl.StripeButton
 288:           269           8608  com.intellij.openapi.components.impl.ComponentManagerImpl$ComponentConfigComponentAdapter
 289:           269           8608  com.intellij.ui.Gray
 290:           215           8600  com.intellij.psi.impl.compiled.ClsMethodImpl
 291:           134           8576  com.intellij.psi.impl.source.tree.java.PsiExpressionStatementImpl
 292:           213           8520  com.intellij.util.Alarm
 293:           352           8448  sun.java2d.StateTrackableDelegate
 294:           527           8432  java.lang.ref.ReferenceQueue$Lock
 295:           351           8424  sun.reflect.annotation.AnnotationInvocationHandler
 296:           263           8416  com.intellij.util.containers.ConcurrentWeakValueHashMap$MyWeakReference
 297:           349           8376  sun.reflect.generics.tree.SimpleClassTypeSignature
 298:            55           8360  com.intellij.ide.plugins.IdeaPluginDescriptorImpl
 299:           348           8352  com.intellij.util.keyFMap.ArrayBackedFMap
 300:           261           8352  java.util.zip.ZipCoder
 301:           344           8256  com.intellij.openapi.util.Key
 302:             1           8216  [Lscala.math.BigInt;
 303:           256           8192  com.intellij.patterns.compiler.PatternCompilerImpl$LazyPresentablePattern
 304:           337           8088  com.intellij.openapi.util.Pair
 305:           333           7992  com.intellij.psi.impl.compiled.ClsMemberImpl$2
 306:           199           7960  scala.collection.mutable.HashSet
 307:           142           7952  com.intellij.psi.impl.java.stubs.impl.PsiFieldStubImpl
 308:           165           7920  gnu.trove.TIntObjectHashMap
 309:           246           7872  javax.swing.SizeRequirements
 310:           320           7824  [Ljava.lang.reflect.Type;
 311:           163           7824  sun.java2d.loops.ScaledBlit
 312:           244           7808  sun.awt.X11.XAtom
 313:           162           7776  org.jetbrains.idea.maven.model.MavenArtifactNode
 314:           162           7776  java.util.ResourceBundle$BundleReference
 315:           121           7744  com.intellij.psi.impl.source.tree.java.ParameterElement
 316:           242           7744  com.intellij.util.containers.WeakReferenceArray$MyWeakReference
 317:           161           7728  sun.nio.cs.UTF_8$Encoder
 318:           322           7728  com.intellij.psi.impl.compiled.ClsModifierListImpl
 319:           240           7680  java.nio.DirectByteBuffer$Deallocator
 320:           106           7632  com.intellij.util.io.PersistentHashMapValueStorage
 321:           317           7608  java.util.concurrent.Executors$RunnableAdapter
 322:           311           7464  [Lcom.intellij.openapi.actionSystem.TimerListener;
 323:           233           7456  java.util.regex.Pattern$Curly
 324:           310           7440  com.intellij.diagnostic.PerformanceWatcher$SwingThreadRunnable
 325:           186           7440  gnu.trove.THashSet
 326:           229           7328  javax.swing.plaf.ColorUIResource
 327:           229           7328  com.intellij.openapi.vfs.impl.VirtualFilePointerImpl
 328:           145           7304  [D
 329:           267           7280  [Lcom.intellij.util.lang.Loader;
 330:           226           7232  java.awt.geom.Rectangle2D$Float
 331:           225           7200  org.jetbrains.plugins.groovy.lang.lexer.GroovyElementType
 332:           222           7104  java.awt.font.FontRenderContext
 333:           222           7104  org.jetbrains.plugins.scala.lang.lexer.ScalaElementType
 334:           222           7104  com.intellij.openapi.components.impl.CachingComponentAdapter
 335:           292           7008  com.intellij.openapi.vfs.impl.VirtualFilePointerManagerImpl$4
 336:           291           6984  com.intellij.util.io.ResizeableMappedFile
 337:           108           6912  java.util.logging.Logger
 338:           108           6912  org.jetbrains.plugins.scala.lang.psi.impl.expr.ScReferenceExpressionImpl
 339:           144           6912  gnu.trove.TObjectIntHashMap
 340:            13           6864  com.intellij.openapi.actionSystem.impl.ActionMenu
 341:           285           6840  java.util.ArrayDeque
 342:            17           6800  com.intellij.openapi.wm.impl.InternalDecorator
 343:           212           6784  java.beans.PropertyChangeEvent
 344:           105           6720  com.intellij.psi.impl.source.tree.java.FieldElement
 345:            17           6664  com.intellij.openapi.wm.impl.content.ToolWindowContentUi
 346:           208           6656  com.intellij.util.messages.impl.MessageBusConnectionImpl
 347:            16           6656  com.intellij.openapi.wm.impl.content.TabContentLayout$3
 348:           166           6640  javax.swing.text.html.parser.AttributeList
 349:           165           6600  java.awt.FlowLayout
 350:           275           6600  java.util.regex.Pattern$1
 351:           274           6576  com.intellij.util.SmartList$SingletonIterator
 352:            17           6528  com.intellij.openapi.wm.impl.InternalDecorator$2
 353:            17           6528  com.intellij.openapi.wm.impl.ToolWindowHeader$6
 354:            17           6528  com.intellij.openapi.wm.impl.ToolWindowHeader$3
 355:           203           6496  com.intellij.openapi.util.ActionCallback
 356:            45           6480  com.intellij.util.ui.ButtonlessScrollBarUI
 357:            42           6384  org.jetbrains.plugins.scala.lang.psi.impl.statements.ScFunctionDefinitionImpl
 358:           349           6360  [Lsun.reflect.generics.tree.TypeArgument;
 359:           198           6336  javax.swing.border.EmptyBorder
 360:           158           6320  sun.awt.image.ByteArrayImageSource
 361:             4           6272  [Lcom.intellij.util.containers.StripedLockIntObjectConcurrentHashMap$IntHashEntry;
 362:           194           6208  com.intellij.openapi.application.impl.LaterInvocator$RunnableInfo
 363:           110           6160  com.intellij.openapi.wm.impl.WindowInfoImpl
 364:           256           6144  org.intellij.plugins.intelliLang.inject.config.InjectionPlace
